month_day,engagement_ratio,hashtags
October-31,-4.722137982398584,"#HappyHalloween, #Harvard"
September-1,-3.8117869613705877,#BacktoHogwarts
September-2,-4.3710156049238655,#WomenInLeadership
September-3,-4.310526646089194,"#Harvard2024, #Harvard2024"
September-4,-4.283298068312015,#Harvard2024
September-5,-4.747533313828054,"#Harvard2023, #Harvard"
September-6,-3.4726049825341914,"#lightning, #Yale, #lightningstrike"
September-7,-4.06873473305093,"#NYUAD, #Mubadala, #Collaboration, #Innovation"
September-8,-4.267337175449022,"#NYUADKawader, #NYUAD"
September-9,-4.813166925420017,#Harvard
September-10,-4.477819475125844,"#Yale, #libraries, #librariesofinstagram"
September-11,-4.171851115709323,#yale
September-12,-3.550791641516072,#myNYUAD
September-13,-4.34997718304915,"#Yale, #ncaaswimdive, #boolaboola"
September-14,-3.9621660946722574,"#Yale, #museum, #art, #ancient, #galleries, #history"
September-15,-3.973494853564056,#Harvard
September-16,-3.8834507924750645,#Yale
September-17,-4.250225538184158,"#yale2021, #yale"
September-18,-4.160664129323204,"#Yale, #BranfordCollege, #campus"
September-19,-3.8843743525567196,"#Yale, #NewHaven, #NHV, #summer, #fall"
September-20,-5.049260802518809,#WelcomeToStanford
September-21,-4.367348613181384,#WelcomeToStanford
September-22,-4.73642234035768,"#FirstDayofFall, #HarvardinAutumn"
September-23,-4.669326713175944,#yale
September-24,-4.3873665841853215,"#Yale, #judyblume"
September-25,-5.04579038015006,#Harvard
September-26,-3.9739893654615646,#myNYUAD
September-27,-4.119701176642957,#VioletPride
September-28,-4.210636791041249,"#Harvard, #HarvardInAutumn"
September-29,-4.656845842581986,#yale
September-30,-3.889646486420401,#HarvardInAutumn
